Total_Males,Total_Females,Median_Age,Total_Pop,Total_White_People,Total_Afr_Am_People,Total_American_Ind_Alk_Ntv,Total_Asian,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Less_Highschool,Total_Bachelor_Holders,Median_Income,Total_Children,Total_Married_Households,Total_STEM,Total_Business_Degree,Below_Poverty_Level_LTM,Total_Wealthy_Households,Median_Household_Income,Gini_Index,Total_Veterans,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Information,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Median_Gross_Rent,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Total_Mexican_Origin,Total_Puerto_Rican_Origin,Total_Cuban_Origin,Total_Dominican_Origin,District_Name,CD,State_Id,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
350974,357398,40.3,708372,642257,21513,4051,18442,671466,16684,29349,47204,65949,24687,143390,127115,11412,16876,105560,7829,49592,0.4529,51585,40.7,318308,8919,17865,43751,38005,11989,4319,9736,51237,47354,23615,14925,725,328696,309090,19606,4372,13863,674,1513,"Congressional District 23 (114th Congress), New York",23,36,NY,NY-23-2016,48.4,49.6,39.7,54.5
347857,361102,39.9,708959,600147,59255,3370,19025,655613,20631,44309,47504,85995,29077,152541,121172,14945,24340,99153,9317,55014,0.4470,41832,41.3,335712,4657,19712,32027,38622,17568,6908,18457,42456,55379,22995,13973,793,352019,329150,22869,2976,16980,2277,2173,"Congressional District 24 (114th Congress), New York",24,36,NY,NY-24-2016,57.0,41.1,48.9,45.3
348669,374287,38.5,722956,545382,117159,3564,29086,636226,32039,66503,51725,100459,28749,152696,121910,19921,33379,105531,11792,53594,0.4551,36083,39.3,353810,1105,16293,37041,41174,13444,9381,17561,46839,61459,22673,11033,855,372093,347356,24737,3386,41801,3403,5727,"Congressional District 25 (114th Congress), New York",25,36,NY,NY-25-2016,58.8,39.4,55.5,39.1
342106,372652,37.7,714758,506459,132066,3128,29144,643414,30231,57825,55445,81262,25566,151435,106594,17674,27368,144823,7801,45106,0.4784,41449,38.2,334536,271,13795,32125,39011,15176,5353,26577,33518,59571,29783,12568,731,349622,330794,18828,3237,30846,1034,3032,"Congressional District 26 (114th Congress), New York",26,36,NY,NY-26-2016,63.9,34.3,57.6,38.0
358751,359043,44.3,717794,674144,17814,3569,7889,688144,10141,25820,39957,86210,31565,142657,152158,18219,27418,63962,10780,62566,0.4340,48476,43.7,355711,6004,24935,46388,40162,15619,4974,21337,37408,54297,23772,17180,741,369926,353716,16210,4794,6280,429,889,"Congressional District 27 (114th Congress), New York",27,36,NY,NY-27-2016,42.9,55.3,35.2,59.7
344180,384308,37.6,728488,291403,381897,8915,11443,674982,36428,48363,96464,62624,20227,163578,98880,10185,18003,178027,4637,35148,0.4790,44601,39.0,306077,6120,19295,44133,32208,11561,3675,12253,31109,52604,27174,16390,757,332562,302553,30009,37809,4989,799,1323,"Congressional District 1 (114th Congress), North Carolina",01,37,NC,NC-01-2016,68.1,31.2,67.5,30.5
389212,406988,36.7,796200,564217,132531,7414,31908,706115,40768,71982,66750,101149,27958,203473,150790,18627,32845,113843,12037,52471,0.4557,66682,40.8,341450,4379,22671,44849,37655,15031,7969,15348,30731,45517,23230,19863,880,366177,340922,25255,46275,16271,1942,1310,"Congressional District 2 (114th Congress), North Carolina",02,37,NC,NC-02-2016,43.0,56.0,43.6,53.2
379592,377383,35.1,756975,562614,141284,3709,10511,716085,16725,30791,48491,80183,23633,160574,139116,16105,19218,123237,7206,45716,0.4541,71653,36.5,316554,6152,23113,27708,42599,13121,4534,16098,27950,43196,32724,22993,869,344538,314489,30049,31538,7774,3396,2185,"Congressional District 3 (114th Congress), North Carolina",03,37,NC,NC-03-2016,40.6,58.5,36.9,60.5
397593,413470,32.5,811063,441648,257098,4651,49382,679697,71832,117115,56787,121133,26481,177463,123773,18995,32578,146998,18500,49423,0.4932,48498,35.9,403882,2234,25627,27970,44127,13536,8270,22974,55455,57091,35761,19300,912,421583,396383,25200,55329,11199,2056,3643,"Congressional District 4 (114th Congress), North Carolina",04,37,NC,NC-04-2016,64.5,34.2,68.2,28.2
369791,385420,41.0,755211,605416,97576,2548,13731,700035,30617,47769,75110,90089,24890,158668,148430,14343,27826,126549,10185,44817,0.4787,51344,41.7,341477,4076,24092,55227,40948,15059,4037,18936,31415,53160,22809,10591,715,362849,338440,24409,38626,8309,998,662,"Congressional District 5 (114th Congress), North Carolina",05,37,NC,NC-05-2016,42.3,56.5,39.8,57.4
368564,384996,42.8,753560,578894,120965,2345,17337,702167,26093,44072,65978,101934,26988,155759,148798,16340,29508,99598,12652,49111,0.4773,46601,43.4,353041,3656,25223,47804,43480,14621,3797,21349,33045,57457,22913,11761,773,371306,350367,20939,29082,6109,1144,383,"Congressional District 6 (114th Congress), North Carolina",06,37,NC,NC-06-2016,43.2,55.9,41.4,56.1
386745,398379,41.6,785124,595543,130877,15112,6399,726212,37371,51636,80606,86453,24669,176561,149257,14047,30439,127689,8689,47426,0.4635,54485,41.8,341093,8946,32095,38644,43747,12979,5305,16036,30430,47262,25525,16772,788,363114,340344,22770,49576,5322,1303,1278,"Congressional District 7 (114th Congress), North Carolina",07,37,NC,NC-07-2016,43.2,55.9,39.9,57.6
368246,381857,39.2,750103,496008,149779,53313,7042,697803,30466,46749,85168,64665,23604,181622,135882,9738,21008,134894,4979,43792,0.4456,47751,41.5,321128,4701,30377,51656,37469,17580,3973,16748,28103,43194,22484,13501,725,345470,319448,26022,50372,6954,1460,379,"Congressional District 8 (114th Congress), North Carolina",08,37,NC,NC-08-2016,44.4,54.7,41.1,56.1
396093,432836,37.7,828929,642309,110469,2411,39062,724925,48547,92132,34490,179798,37138,212969,171168,21636,76267,66975,35396,76101,0.4649,41792,41.5,424009,1350,22106,40224,51973,18194,12348,58995,30388,49165,26468,8325,1107,444872,422844,22028,28144,8845,3173,1181,"Congressional District 9 (114th Congress), North Carolina",09,37,NC,NC-09-2016,43.8,55.4,42.8,54.4
366660,385249,41.4,751909,613489,88470,2558,11458,708822,23747,37808,81712,79161,22794,161736,140340,14252,22955,121936,7663,42154,0.4708,45163,41.2,326871,2376,19269,63818,43893,15096,4230,14346,22562,43890,26474,11821,721,351595,325100,26495,23137,5293,1732,1994,"Congressional District 10 (114th Congress), North Carolina",10,37,NC,NC-10-2016,40.4,58.5,36.4,61.0
361289,378495,45.2,739784,664942,23758,12834,9101,698055,21195,36550,79743,77771,22532,141390,154504,15123,21048,114686,6720,42079,0.4507,54884,42.3,314754,5554,26409,47513,34779,10449,3936,15434,26622,51468,26765,12497,671,331102,312711,18391,27705,3373,2074,196,"Congressional District 11 (114th Congress), North Carolina",11,37,NC,NC-11-2016,39.1,59.6,34.0,63.2
381804,412160,32.8,793964,297746,392085,3412,41117,678185,80114,107783,89729,86647,22452,196163,100486,10264,36206,181290,5944,37980,0.4737,34380,36.4,373371,1612,32204,37167,40672,22622,8528,32749,27590,47383,32545,8568,846,403629,367923,35706,62194,9115,3509,4237,"Congressional District 12 (114th Congress), North Carolina",12,37,NC,NC-12-2016,67.8,31.3,68.4,28.4
386237,405255,39.7,791492,580486,145703,1291,19831,720765,33354,61934,48391,145805,32300,198094,168026,17938,49789,72113,20311,67118,0.4458,49369,42.4,387265,4538,26554,43171,43177,13456,11213,27316,35202,44826,24506,21617,951,407467,386792,20675,35189,8311,3199,1113,"Congressional District 13 (114th Congress), North Carolina",13,37,NC,NC-13-2016,46.1,52.9,44.0,53.4
388152,368776,34.9,756928,667900,15681,37745,10104,721972,16067,28649,36968,105625,31782,171314,150297,22012,28549,80170,15865,60557,0.4664,46507,37.1,404589,38380,32190,27497,47045,23354,4835,20660,35123,61498,25784,17628,775,410160,399955,10205,19396,1417,544,658,"Congressional District (at Large) (114th Congress), North Dakota",AL,38,ND,ND-AL-2016,38.9,58.7,27.7,64.1
355448,374529,37.5,729977,520195,161131,685,23054,685714,19755,38688,41699,105368,29280,177736,128826,20078,37504,104669,16620,55059,0.4851,42902,40.6,349212,1423,17026,42642,42872,16766,5630,26892,29018,57301,22106,11630,725,371562,346774,24788,9943,3396,229,76,"Congressional District 1 (114th Congress), Ohio",01,39,OH,OH-01-2016,46.3,52.4,44.6,51.2
356807,373918,39.4,730725,638064,60870,1524,9611,704774,8915,20880,52098,99150,28368,167957,133893,17067,33859,99647,12692,52371,0.4741,47066,40.4,342538,3423,17384,50507,42946,15357,5991,26026,25543,52959,23031,12713,746,361161,342229,18932,6004,2460,153,428,"Congressional District 2 (114th Congress), Ohio",02,39,OH,OH-02-2016,43.7,54.7,39.7,55.8
369592,397703,32.5,767295,439778,250694,1367,27041,672540,51362,87122,61978,87497,24260,187841,95405,13705,31018,172817,6206,42601,0.4535,40366,35.4,377530,711,16566,27304,51203,27751,7512,36725,28874,54632,33962,14675,831,402102,371769,30333,30212,5752,437,2975,"Congressional District 3 (114th Congress), Ohio",03,39,OH,OH-03-2016,69.7,28.9,67.0,28.6
354646,358656,40.7,713302,645601,38152,2455,7014,696941,6308,12836,49851,51825,26253,162444,138855,10470,16546,93424,5567,50627,0.4302,52548,41.8,331707,5534,16669,88282,31423,18428,3522,11980,25321,46124,22262,12426,668,350023,329398,20625,15993,7059,248,65,"Congressional District 4 (114th Congress), Ohio",04,39,OH,OH-04-2016,42.0,56.0,30.7,64.3
352113,369365,39.5,721478,663594,19675,533,8877,699503,7920,17502,36359,74587,28518,166072,147896,15747,27101,73466,8960,56098,0.4262,45481,40.5,358570,6411,19217,82905,38105,21239,3974,12881,34514,49329,22948,10234,712,370595,353754,16841,28565,3248,623,61,"Congressional District 5 (114th Congress), Ohio",05,39,OH,OH-05-2016,44.1,53.9,34.6,59.7
346742,352475,43.7,699217,663560,17108,1389,3024,688738,3184,7680,60967,49885,23412,145035,141134,11939,13289,111523,4585,43964,0.4473,52148,42.4,296236,9853,18054,42704,38955,21388,4279,12372,22464,49642,22762,11516,634,314654,293850,20804,3392,1903,517,44,"Congressional District 6 (114th Congress), Ohio",06,39,OH,OH-06-2016,42.7,55.2,26.7,69.3
366276,379315,40.6,745591,690542,29013,594,5315,729004,5768,13483,63285,65836,26054,176952,145983,12464,22378,93318,8157,51132,0.4269,50111,41.2,355488,9872,21858,68485,39456,17064,5371,19222,27017,51094,26331,10999,695,371904,351814,20090,5063,3972,99,698,"Congressional District 7 (114th Congress), Ohio",07,39,OH,OH-07-2016,44.2,53.7,32.8,62.5
355791,371798,38.8,727589,643837,41407,1584,13535,696272,14245,26235,54961,72957,26841,172436,140374,13790,24564,96225,9308,54069,0.4392,51375,40.8,343113,4198,18969,64612,39346,15157,4252,20877,31641,47405,26121,11226,758,360975,340679,20296,15411,2225,667,877,"Congressional District 8 (114th Congress), Ohio",08,39,OH,OH-08-2016,36.4,61.9,30.6,65.1
346023,363729,38.3,709752,524046,123125,2760,9833,658242,14642,32725,65472,68582,23661,156917,104451,10867,22880,143834,6976,41379,0.4661,44376,39.2,328828,1998,16264,50783,39523,16988,5033,16608,22569,52629,32604,13582,694,357539,325892,31647,27104,38759,1122,1029,"Congressional District 9 (114th Congress), Ohio",09,39,OH,OH-09-2016,67.6,30.9,58.7,36.5
349601,370440,39.0,720041,556056,118380,1541,15120,680081,16518,33955,45341,81760,26112,158711,129082,15074,30740,117888,10053,49490,0.4557,59713,39.4,330534,1698,16630,42484,34919,12774,5857,19161,31398,56030,25218,19106,749,347572,323376,24196,10589,4049,732,137,"Congressional District 10 (114th Congress), Ohio",10,39,OH,OH-10-2016,48.2,50.1,44.0,51.3
331047,373442,38.2,704489,282431,370986,2577,18612,656389,18453,37369,67359,66604,22068,157544,86499,14275,24261,180750,9410,35624,0.5325,36191,39.2,297073,267,9217,34525,30461,11837,5374,21829,27582,62929,27471,11209,711,334078,293392,40686,7266,19721,413,545,"Congressional District 11 (114th Congress), Ohio",11,39,OH,OH-11-2016,82.7,16.5,80.5,17.0
381845,383452,37.8,765297,672586,35749,1263,27811,722420,18322,36646,35385,132780,32460,181054,158576,19308,48229,71924,21982,69056,0.4616,44996,40.3,384798,2487,16849,41044,46231,14897,8832,42153,36211,52191,29162,17319,898,401285,382534,18751,7486,3930,1353,406,"Congressional District 12 (114th Congress), Ohio",12,39,OH,OH-12-2016,43.9,54.4,41.9,53.2
343475,366502,40.5,709977,592950,82535,1310,11814,678430,15394,25593,51186,67584,23766,144138,119221,13922,22804,124170,5602,42019,0.4616,50837,39.3,327699,1820,15058,56672,45920,15012,4929,15280,24905,49788,29188,10024,683,349378,324298,25080,7392,11947,805,539,"Congressional District 13 (114th Congress), Ohio",13,39,OH,OH-13-2016,62.9,35.4,51.1,44.6
350431,365653,44.3,716084,653538,31476,512,14338,672525,14885,38764,40715,104757,31732,155939,155787,21459,39854,56855,17941,64775,0.4544,47094,44.3,356586,2602,17560,65882,39150,14136,7383,23941,29944,56069,20965,10921,850,372011,355446,16565,7080,6757,768,186,"Congressional District 14 (114th Congress), Ohio",14,39,OH,OH-14-2016,47.6,50.9,42.1,53.6
377279,370212,37.9,747491,674232,30369,425,22717,705391,20135,36440,50462,97586,29558,168908,147746,19026,33439,83186,13276,60009,0.4512,47640,39.6,351267,3879,19693,34956,41924,20373,6493,26581,38085,53243,25065,17353,858,367130,348698,18432,8014,2765,415,26,"Congressional District 15 (114th Congress), Ohio",15,39,OH,OH-15-2016,46.3,51.9,39.9,55.3
346835,358283,43.6,705118,658045,15621,1382,15752,661954,12763,37993,36156,102251,31286,150124,150158,21068,36824,50719,13327,61330,0.4357,48054,42.6,358563,3375,18265,58143,41627,18637,5769,24697,31783,49981,23365,11692,786,371156,356169,14987,5481,4965,329,439,"Congressional District 16 (114th Congress), Ohio",16,39,OH,OH-16-2016,45.2,53.4,39.5,56.2
386691,406003,36.1,792694,563876,69430,43176,20947,722731,42161,60901,53998,104961,28360,200659,148155,15947,39925,119789,15223,52054,0.4776,52906,39.3,386901,8980,26017,44726,43706,21957,9966,24686,31224,51895,26432,11868,806,408230,385295,22935,69260,3180,805,392,"Congressional District 1 (114th Congress), Oklahoma",01,40,OK,OK-01-2016,34.2,65.8,32.7,61.4
372918,378012,39.8,750930,500446,27047,122684,3854,731216,10313,15845,79124,61960,21806,178699,141509,10351,17545,144099,5363,41197,0.4592,58417,40.5,293006,14807,21065,35114,33740,19036,3171,10995,28301,42969,20572,18946,634,311483,291132,20351,32070,1239,783,0,"Congressional District 2 (114th Congress), Oklahoma",02,40,OK,OK-02-2016,32.2,67.8,22.8,72.9
394439,385274,36.4,779713,618915,29608,47451,10722,735066,26343,38185,64305,75287,24295,191096,148380,11709,22398,118964,8651,48571,0.4625,56857,39.6,337784,31973,24191,31089,39495,20293,4925,13833,34921,35612,24930,21475,726,351909,334270,17639,66003,1313,718,0,"Congressional District 3 (114th Congress), Oklahoma",03,40,OK,OK-03-2016,26.1,73.9,20.9,73.6
391151,386853,35.5,778004,592848,50877,37892,18060,730820,17575,34497,52510,80039,26402,182280,141794,11389,28828,94457,8975,51990,0.4345,61301,37.7,358028,18323,22235,28876,45271,16751,5790,20591,36854,46978,24560,27197,789,375481,355718,19763,51361,4219,340,0,"Congressional District 4 (114th Congress), Oklahoma",04,40,OK,OK-04-2016,32.9,67.1,28.3,65.7
394356,415641,34.6,809997,562301,109352,35395,24945,715459,60576,85922,74721,99518,26330,208363,133470,17137,40442,133519,13472,48426,0.4974,51795,37.6,377726,13857,34487,27488,44295,13915,6654,27555,29814,52245,27650,21575,799,393101,374247,18854,107785,2920,712,0,"Congressional District 5 (114th Congress), Oklahoma",05,40,OK,OK-05-2016,40.8,59.2,39.8,53.2
405624,414681,37.5,820305,667338,13823,6573,61941,693329,64704,115591,49686,142982,31036,187478,156450,22065,39983,88931,23505,66349,0.4546,52233,39.7,405530,8633,18563,67012,43407,13790,8697,28193,27339,53492,27973,16745,1085,427284,402858,24426,94155,3464,1725,0,"Congressional District 1 (114th Congress), Oregon",01,41,OR,OR-01-2016,57.3,40.0,57.3,34.5
398005,400156,42.1,798161,718372,5308,17633,7630,743923,30181,46840,58954,85315,24024,174749,155866,14261,20784,142645,8469,46793,0.4608,68913,40.7,340080,20418,22341,31786,46271,16219,6676,14181,22767,49154,26525,17093,842,365480,337848,27632,90160,2266,942,208,"Congressional District 2 (114th Congress), Oregon",02,41,OR,OR-02-2016,40.5,56.8,36.4,56.5
405000,410909,37.3,815909,648968,41856,6277,57086,696020,57814,108614,60026,144568,27692,161854,134090,22329,29835,124548,16756,58809,0.4548,44598,38.1,425585,6636,20851,37996,48241,18481,9295,22936,40174,67123,39328,14020,1024,450816,422026,28790,69030,1993,3999,497,"Congressional District 3 (114th Congress), Oregon",03,41,OR,OR-03-2016,72.0,24.7,70.7,22.5
384303,396863,41.1,781166,694670,7743,10529,17323,727827,29454,45917,53978,87836,22648,148162,146863,13034,16788,145509,7764,44747,0.4606,71217,38.5,333045,12837,19396,35581,40540,13950,5001,15019,36925,53995,24185,14795,840,359107,330456,28651,46544,2748,329,0,"Congressional District 4 (114th Congress), Oregon",04,41,OR,OR-04-2016,51.7,45.0,46.1,46.0
399230,414206,38.9,813436,704561,8250,9114,20311,723526,47163,80331,56941,105543,27044,188909,156676,15945,30526,105396,16403,58466,0.4513,58998,40.2,377015,16988,26586,40743,46694,14834,5178,21123,29019,53681,24983,21054,931,400030,374944,25086,119319,2263,1587,0,"Congressional District 5 (114th Congress), Oregon",05,41,OR,OR-05-2016,50.5,47.1,48.3,44.1
345129,375482,33.8,720611,349006,251462,2187,54769,599041,44810,90144,82447,76002,25554,170351,79049,11762,25100,161897,10766,45968,0.4898,25454,37.2,326260,1257,14291,23898,35311,22593,6571,20066,28150,62740,25789,16333,993,359308,323317,35991,10428,82518,1316,13324,"Congressional District 1 (114th Congress), Pennsylvania",01,42,PA,PA-01-2016,50.2,48.6,49.1,47.1
334726,390692,34.3,725418,232414,418109,3624,36276,652758,31602,60236,66699,94003,22870,142694,66633,19043,28060,192336,16410,40244,0.5737,32762,35.1,308561,745,7409,14666,29686,15461,6099,18353,45624,62376,22294,16541,933,333110,299236,33874,6717,23666,1492,5330,"Congressional District 2 (114th Congress), Pennsylvania",02,42,PA,PA-02-2016,77.4,21.8,72.9,24.9
345717,356175,42.8,701892,643216,31290,702,6394,679911,7024,16109,46468,79281,25163,147202,140619,16228,24321,100488,8593,50231,0.4491,53199,42.3,318536,5893,18164,51935,38567,16592,4212,16829,26115,55442,21737,10824,680,332032,312648,19384,3511,9370,235,211,"Congressional District 3 (114th Congress), Pennsylvania",03,42,PA,PA-03-2016,91.7,7.6,90.9,7.0
357631,367260,41.0,724891,618525,56366,1136,18686,674889,19228,37023,53123,83072,29381,158590,140070,13318,25735,72004,8882,58510,0.4157,52189,41.7,362468,2704,23327,52378,43157,22132,5035,22834,24098,52034,23826,23539,890,377682,358386,19296,10072,27272,521,5061,"Congressional District 4 (114th Congress), Pennsylvania",04,42,PA,PA-04-2016,56.1,42.8,57.8,38.5
357097,342011,40.7,699108,652475,18888,859,12747,671745,14175,23357,43775,70990,24234,128509,134225,11931,18168,94530,6698,48610,0.4392,53575,39.9,312074,9434,17682,51713,35210,14745,3117,11856,38835,47093,23730,12228,714,325844,306431,19413,4116,3492,439,930,"Congressional District 5 (114th Congress), Pennsylvania",05,42,PA,PA-05-2016,63.4,35.7,62.6,34.4
353702,366950,41.7,720652,620359,32318,1211,37662,655401,25987,53910,35362,129630,36645,157211,153772,20793,50467,47218,30515,80129,0.4509,38140,42.9,376302,3339,19719,53079,36647,14367,8688,34832,31429,54219,22257,9123,1140,388847,371672,17175,6677,23463,1778,2813,"Congressional District 6 (114th Congress), Pennsylvania",06,42,PA,PA-06-2016,51.0,47.8,52.6,43.3
347000,362623,42.8,709623,613749,37710,525,36264,643361,22612,58641,36287,119996,37182,152834,150501,23476,48593,39835,31059,84406,0.4483,37592,43.4,358822,6193,23283,34914,34927,14341,7906,30570,41108,51559,19211,12420,1159,372409,354782,17627,8944,9208,1933,475,"Congressional District 7 (114th Congress), Pennsylvania",07,42,PA,PA-07-2016,52.9,45.9,48.7,47.6
347120,359963,43.7,707083,622410,27403,1381,33843,636517,24213,63008,33521,117921,36701,150750,153589,20642,45480,41579,30352,80032,0.4489,41533,44.3,369562,2482,26435,44544,46008,15050,6938,28148,30569,56365,20012,9220,1174,387482,367579,19903,8696,13354,1029,1393,"Congressional District 8 (114th Congress), Pennsylvania",08,42,PA,PA-08-2016,55.3,43.4,43.7,53.3
343790,352755,43.4,696545,656178,19806,278,4385,680881,5670,11484,55521,57082,24411,141246,141684,11393,14492,100173,5833,47413,0.4377,51947,41.9,307268,10685,21293,40734,38608,22392,4432,13472,26126,49115,21152,14322,685,323607,303138,20469,5389,2802,683,407,"Congressional District 9 (114th Congress), Pennsylvania",09,42,PA,PA-09-2016,41.2,57.2,31.0,65.0
354029,351573,43.7,705602,654518,26260,1442,6579,677165,7656,23099,59965,69559,25626,144175,144797,14043,17639,85608,8435,53520,0.4333,53089,43.1,324478,10028,24325,44760,37847,18922,3802,13807,29907,52678,23943,14023,748,336399,318905,17494,4092,13226,894,2883,"Congressional District 10 (114th Congress), Pennsylvania",10,42,PA,PA-10-2016,46.0,52.6,43.4,52.3
347774,357142,42.3,704916,625444,38670,1130,9208,665179,16996,31850,51856,71083,27389,141213,135273,12686,22640,79749,7543,52367,0.4281,50629,42.0,334635,4641,17398,40884,41964,23350,4384,18071,26643,57653,21571,23019,791,349008,330455,18553,6927,15857,530,15325,"Congressional District 11 (114th Congress), Pennsylvania",11,42,PA,PA-11-2016,38.0,60.5,34.7,60.5
342412,357927,45.1,700339,651796,22255,379,12000,676152,8675,19940,34930,98664,29129,140597,150020,20569,37869,69916,14510,57186,0.4667,50701,44.0,336244,4330,18632,38925,37490,19156,4952,25645,29237,60183,19818,9037,709,352447,333999,18448,3268,3854,433,599,"Congressional District 12 (114th Congress), Pennsylvania",12,42,PA,PA-12-2016,36.8,61.5,29.7,66.1
350710,378391,37.3,729101,460912,139378,1367,67497,584293,59544,129142,59554,105583,29443,170566,120802,21078,39315,103929,15366,57367,0.4776,32250,39.6,346948,309,18271,35030,39994,17135,6887,24250,28901,60802,21916,16337,1026,374444,345620,28824,12142,40280,1254,8055,"Congressional District 13 (114th Congress), Pennsylvania",13,42,PA,PA-13-2016,32.1,66.6,25.5,71.2
338477,360986,38.6,699463,497863,147400,603,23627,654749,24102,40003,40638,93830,25122,119457,102888,16515,30579,121242,9901,43763,0.4907,48489,36.7,346222,3018,15802,26626,38070,15112,6551,25134,36440,61812,29313,11937,773,364083,339998,24085,3906,4966,1090,559,"Congressional District 14 (114th Congress), Pennsylvania",14,42,PA,PA-14-2016,40.6,58.3,33.9,62.9
359105,368939,40.3,728044,614769,34472,1513,20802,638933,24825,57942,55442,83654,29428,162147,138632,15320,30587,75976,13126,58867,0.4382,45269,41.2,362203,2872,18397,49608,44829,23145,5628,20139,31455,58347,24443,10727,965,376104,357013,19091,9100,67519,1385,15982,"Congressional District 15 (114th Congress), Pennsylvania",15,42,PA,PA-15-2016,35.7,62.6,26.5,69.8
358610,373985,37.0,732595,608293,48952,5184,12600,648751,31889,53490,74881,77297,26754,183588,135135,13402,23968,96191,10139,55802,0.4437,39158,40.1,354352,10897,23946,56296,38795,17624,4282,17899,30469,51452,22987,10141,915,372709,348248,24461,28236,77131,874,15834,"Congressional District 16 (114th Congress), Pennsylvania",16,42,PA,PA-16-2016,46.9,51.7,37.9,57.9
335314,351578,43.0,686892,600515,42838,907,13033,638181,16220,40193,55666,67963,25312,137080,124592,15658,19620,87630,6833,50329,0.4375,47647,42.4,311664,3369,15590,43322,39347,19735,5318,13715,27167,53913,20347,13341,778,334654,309248,25406,7747,25984,1051,7074,"Congressional District 17 (114th Congress), Pennsylvania",17,42,PA,PA-17-2016,47.2,51.7,46.8,49.4
343903,365825,44.1,709728,664236,14935,657,13744,679243,11733,27588,31015,115889,30879,143810,154474,19054,48724,59694,18228,62254,0.4609,48963,43.0,353071,7444,22408,37798,44980,18622,4780,26165,28253,54656,22968,9132,768,367843,350104,17739,2563,3170,154,654,"Congressional District 18 (114th Congress), Pennsylvania",18,42,PA,PA-18-2016,63.5,35.2,62.1,34.6
258099,274458,38.8,532557,414179,45305,1944,19056,427091,42267,89262,50441,69527,26627,107472,82535,12531,22484,80853,11472,51966,0.5040,28191,38.8,258155,1456,13183,26525,31772,10603,4244,16112,28553,46526,20845,8447,900,267475,252436,15039,5465,26519,701,27378,"Congressional District 1 (114th Congress), Rhode Island",01,44,RI,RI-01-2016,66.2,32.2,60.5,34.9
253674,270067,40.8,523741,434666,20199,2619,16484,461527,22676,53062,39603,71604,32032,104403,92432,11432,24306,60182,11270,64118,0.4405,32423,41.3,266820,726,14213,33485,29830,8819,4057,17859,27885,40817,22043,13179,988,280407,261816,18591,3147,13015,490,22896,"Congressional District 2 (114th Congress), Rhode Island",02,44,RI,RI-02-2016,59.8,38.3,51.1,44.0
366920,384759,38.3,751679,558079,148179,1928,13719,697761,24925,45092,35798,134033,31385,166190,144421,20999,46859,81992,17660,61907,0.4630,70714,38.7,359564,1776,22330,29328,39632,14816,8418,25064,29150,47161,35714,18712,1092,376377,358207,18170,22045,7203,1597,534,"Congressional District 1 (114th Congress), South Carolina",01,45,SC,SC-01-2016,40.2,58.3,40.4,53.5
344458,357341,38.4,701799,494789,165498,1247,13500,659787,18931,31508,49557,97588,28641,160779,132462,15619,35419,94476,11757,56454,0.4542,56149,40.5,326896,2973,21462,35290,40413,15632,5086,24503,31640,42087,23121,20642,864,346866,321742,25124,21450,7138,1089,877,"Congressional District 2 (114th Congress), South Carolina",02,45,SC,SC-02-2016,39.4,59.1,38.6,56.3
334645,346174,41.1,680819,525056,121557,1701,4133,652969,14902,22620,76489,59532,22121,146889,125675,12130,20640,118769,5161,43034,0.4538,48686,40.8,289207,3877,17327,66236,32873,12078,4527,12043,26122,40183,17340,8897,698,307624,286697,20927,20326,4584,1169,259,"Congressional District 3 (114th Congress), South Carolina",03,45,SC,SC-03-2016,33.9,64.5,29.0,67.0
345242,364389,37.7,709631,526800,137269,1082,18010,643764,38243,60004,71827,92537,25229,166840,128907,14083,31522,98102,9442,50015,0.4609,42233,40.1,328178,1856,18918,59851,34605,12376,8330,16903,28967,40377,28011,7509,785,344730,323441,21289,29743,4730,1570,670,"Congressional District 4 (114th Congress), South Carolina",04,45,SC,SC-04-2016,36.2,62.2,34.5,60.2
336343,356959,39.8,693302,470275,195011,2543,7931,664573,9550,22013,72112,73186,24938,160181,123664,9174,29649,111068,6557,45802,0.4541,51437,41.1,301854,2819,19102,49837,38150,17561,6022,20498,24325,32981,20772,12479,780,324895,300482,24413,13191,3807,541,1679,"Congressional District 5 (114th Congress), South Carolina",05,45,SC,SC-05-2016,43.6,55.1,38.8,57.3
319371,342150,35.4,661521,248652,381321,1186,6618,630714,16103,22716,73291,52874,20230,142700,81220,8315,19613,156066,3240,34566,0.4737,46225,36.6,271557,3790,18543,28491,35612,15778,4614,12861,25152,37744,26636,16587,787,296417,266973,29444,17497,7456,1266,373,"Congressional District 6 (114th Congress), South Carolina",06,45,SC,SC-06-2016,70.9,28.1,66.8,30.3
338117,359278,42.3,697395,468443,195279,4074,6431,661577,18094,28796,74781,66093,21728,145729,131041,11735,21654,130242,6251,41473,0.4750,55449,40.9,288446,4946,21221,32655,41907,12173,3963,15117,24517,40347,33318,9425,769,314371,287362,27009,16615,7243,1303,190,"Congressional District 7 (114th Congress), South Carolina",07,45,SC,SC-07-2016,44.4,54.5,39.1,58.0
