Total_Males,Total_Females,Median_Age,Total_Pop,Total_White_People,Total_Afr_Am_People,Total_American_Ind_Alk_Ntv,Total_Asian,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Less_Highschool,Total_Bachelor_Holders,Median_Income,Total_Children,Total_Married_Households,Total_STEM,Total_Business_Degree,Below_Poverty_Level_LTM,Total_Wealthy_Households,Median_Household_Income,Gini_Index,Total_Veterans,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Information,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Median_Gross_Rent,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Total_Mexican_Origin,Total_Puerto_Rican_Origin,Total_Cuban_Origin,Total_Dominican_Origin,District_Name,CD,State_Id,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
359314,365034,35.7,724348,459698,213001,4126,14818,672683,23375,36853,60279,72119,24565,170796,127517,12669,26626,134365,7193,45796,0.4632,65771,38.1,305821,3549,20333,30725,41287,20914,3751,14152,27174,39779,31371,18822,925,330203,304581,25622,20529,11998,1054,588,"Congressional District 1 (114th Congress), Georgia",01,13,GA,GA-01-2016,43.0,55.9,40.9,56.4
333594,350294,36.2,683888,289007,359884,1413,6981,652792,13160,22933,80967,48044,19733,164724,94227,10766,18679,178990,5005,35347,0.5019,50020,39.4,254595,7366,14619,30233,29036,11230,2950,17292,26810,36757,18951,18975,700,282631,251600,31031,19614,6018,698,1017,"Congressional District 2 (114th Congress), Georgia",02,13,GA,GA-02-2016,58.6,40.8,55.0,43.3
354737,368522,37.8,723259,507685,174576,1219,11742,676192,21347,36832,61537,79902,26030,173302,137653,11912,28840,105843,9640,52584,0.4638,53418,40.6,313658,2694,17990,43113,32958,26846,8184,15686,34330,32010,23482,15830,878,339198,312699,26499,15857,7339,1369,1231,"Congressional District 3 (114th Congress), Georgia",03,13,GA,GA-03-2016,33.0,65.9,32.8,64.3
351869,394650,35.5,746519,228597,443473,857,36149,610720,64148,124238,63875,93183,26387,192376,106615,14068,38353,134374,8053,50668,0.4321,41505,40.6,352712,498,22630,30969,43663,28433,11033,19829,34886,43323,28057,19988,977,386858,352546,34312,41662,6846,2325,1747,"Congressional District 4 (114th Congress), Georgia",04,13,GA,GA-04-2016,73.6,25.6,75.3,22.2
349779,387199,33.7,736978,245099,425941,3059,33735,665662,40408,63715,61597,114378,27168,145520,72599,15835,46222,148879,18074,48017,0.5246,33584,35.7,369333,333,14992,19336,37453,27652,13609,23420,44910,40482,32867,17669,963,389884,359434,30450,30323,4069,1664,921,"Congressional District 5 (114th Congress), Georgia",05,13,GA,GA-05-2016,83.1,15.8,85.0,11.9
364191,365452,37.6,729643,509164,95974,6904,80651,561936,91205,155313,33477,179034,41170,189901,147751,23799,84023,62661,40743,83844,0.4688,27494,42.2,380302,1485,19982,27948,36293,14435,17779,40575,28263,34860,29022,9238,1175,400521,379720,20801,49652,6428,4272,3579,"Congressional District 6 (114th Congress), Georgia",06,13,GA,GA-06-2016,37.5,60.8,46.8,48.3
394646,409672,35.1,804318,457857,165573,2313,104386,587399,109070,202957,55625,135792,31464,228215,151843,17230,57881,84991,17577,69201,0.4268,34261,41.1,392794,835,34313,36902,48805,14270,13726,32053,28365,33615,31589,11306,1107,416937,392771,24166,77541,8732,7064,5358,"Congressional District 7 (114th Congress), Georgia",07,13,GA,GA-07-2016,38.3,60.2,44.8,51.1
340020,362564,36.8,702584,451572,209404,1240,12557,662048,21351,32124,75161,52899,23245,170426,120474,9882,20502,146954,5233,42582,0.4802,52081,39.9,285665,10161,14041,34508,36656,14484,3528,11209,27530,37817,18677,28030,757,308291,284086,24205,29934,6511,2114,204,"Congressional District 8 (114th Congress), Georgia",08,13,GA,GA-08-2016,37.5,61.6,34.4,63.3
353592,366210,40.9,719802,624130,53453,1494,9185,653467,42175,60634,84901,69513,24435,166330,150333,11333,27716,114745,9019,48837,0.4632,48497,41.7,305772,6699,25415,48064,40010,13790,4774,15018,26118,35860,21669,12512,791,320162,303918,16244,63759,2490,1561,206,"Congressional District 9 (114th Congress), Georgia",09,13,GA,GA-09-2016,20.5,78.1,19.3,77.8
355550,370715,36.4,726265,501416,186552,984,12462,680034,22275,39231,68429,69311,23517,170885,130479,12850,23269,129342,7841,49033,0.4835,42063,40.0,311276,4909,20317,31041,43230,18636,6066,13404,40623,32621,25036,12974,792,328405,308366,20039,21043,3551,777,0,"Congressional District 10 (114th Congress), Georgia",10,13,GA,GA-10-2016,36.3,62.5,35.8,61.3
363642,381104,36.6,744746,546130,118256,2135,27750,641247,55520,92760,50427,133102,32229,178883,148980,16265,55251,74550,21075,69662,0.4748,42887,39.9,381709,2059,27891,38262,46729,17822,14202,28465,34413,38293,26935,14131,1043,399058,379717,19341,45757,8710,2313,2722,"Congressional District 11 (114th Congress), Georgia",11,13,GA,GA-11-2016,31.5,66.9,35.3,60.3
351128,362018,35.2,713146,418868,249871,1234,11044,677180,15361,27127,79340,57784,22116,172602,114779,12481,18061,148012,6229,42336,0.4762,55240,38.5,280814,6866,21985,33241,36576,16804,3773,11403,29794,41240,20304,16586,736,301093,279501,21592,31397,5790,1244,655,"Congressional District 12 (114th Congress), Georgia",12,13,GA,GA-12-2016,43.6,55.4,40.7,56.9
358195,397061,35.6,755256,245120,441129,204,18040,659053,46726,83847,57400,90239,27053,203078,117125,11942,34818,127160,6905,52761,0.4225,53198,40.7,352950,1661,25853,25342,40803,34461,9293,19523,32204,40674,28762,20438,949,384207,352910,31297,50736,12525,1732,5326,"Congressional District 13 (114th Congress), Georgia",13,13,GA,GA-13-2016,69.2,30.0,71.0,26.6
345201,358907,37.4,704108,593095,60842,1309,8957,654020,29026,45153,92721,49149,23691,175376,130034,9279,17695,104122,5394,46378,0.4441,41248,40.0,318232,2774,21019,73092,36896,17954,4921,13155,24896,36523,20234,11974,707,333893,316009,17884,58563,1855,1953,548,"Congressional District 14 (114th Congress), Georgia",14,13,GA,GA-14-2016,25.3,73.2,22.1,75.0
358607,347166,38.6,705773,134281,17215,901,348082,514189,67899,161051,50107,113293,33116,139531,115941,15845,36756,57898,20143,77156,0.4305,54526,39.3,350962,1481,23240,12173,40647,21282,6107,23913,28866,42250,47782,33511,1552,361292,347331,13961,14611,19341,1167,374,"Congressional District 1 (114th Congress), Hawaii",01,15,HI,HI-01-2016,69.7,29.0,63.1,30.5
366028,359802,36.9,725830,237971,12429,2998,183186,615955,39030,92363,39888,91740,31204,171675,116510,13100,25991,90086,12799,70420,0.4372,52943,39.4,324252,8163,30302,7874,36889,17479,5165,22220,29874,31473,42966,27568,1446,341893,321996,19897,31365,26399,908,1180,"Congressional District 2 (114th Congress), Hawaii",02,15,HI,HI-02-2016,71.4,26.7,61.4,29.6
425632,423969,37.9,849601,777966,3730,13886,8604,802813,25128,40083,53262,95419,24900,213862,167773,17028,26252,122380,6665,48216,0.4468,66325,40.1,370718,15321,26412,37541,44992,17630,6022,21185,33744,53028,25729,18149,792,390498,367640,22858,76131,3239,834,0,"Congressional District 1 (114th Congress), Idaho",01,16,ID,ID-01-2016,32.2,64.9,25.4,63.7
401187,404142,33.7,805329,736438,5098,9630,12541,743641,33327,54281,53272,94147,22840,218319,153080,16325,26835,123171,9179,48363,0.4583,53081,37.9,373510,23528,22775,33060,43613,18813,7273,15995,36087,51076,29955,17305,756,389904,371534,18370,97957,1133,607,48,"Congressional District 2 (114th Congress), Idaho",02,16,ID,ID-02-2016,33.1,64.1,29.8,54.5
332384,385063,38.0,717447,292962,366000,2297,12527,656204,27316,56655,54138,75807,25564,168985,92655,11742,29143,132020,9473,48295,0.4874,33542,41.1,299695,489,16171,21641,33259,26192,5350,23041,33571,44705,20244,17156,907,342089,297893,44196,62282,3955,588,219,"Congressional District 1 (114th Congress), Illinois",01,17,IL,IL-01-2016,78.9,20.2,75.4,21.4
330370,372304,38.3,702674,259279,396854,775,5497,643522,28367,53180,55466,67843,25211,166838,89845,13228,22367,138488,5889,44353,0.4793,33385,41.4,290095,1081,13015,31121,32569,26020,5569,19405,27294,51927,18843,13379,890,336827,287722,49105,82973,5393,201,87,"Congressional District 2 (114th Congress), Illinois",02,17,IL,IL-02-2016,80.7,18.5,78.0,19.1
356789,370695,37.2,727484,529421,37220,1946,29663,568174,79278,150733,67428,81661,30012,181723,129455,14292,30341,78892,14439,61772,0.4469,26955,40.7,341262,1087,25236,36221,37807,29778,4821,23133,26938,42338,25412,13663,940,364449,340370,24079,210079,15214,2130,461,"Congressional District 3 (114th Congress), Illinois",03,17,IL,IL-03-2016,55.9,42.6,55.2,39.9
356223,351949,32.2,708172,420639,29621,4476,25022,443867,158486,239905,124831,71248,23543,184552,96036,9866,19703,144479,6182,46805,0.4497,10412,36.4,343803,1056,20652,51153,33161,19229,5607,17810,23539,37002,45376,7274,922,369667,343519,26148,385408,59378,2890,1448,"Congressional District 4 (114th Congress), Illinois",04,17,IL,IL-04-2016,80.9,17.1,82.1,13.2
362417,373568,35.2,735985,605720,22789,2254,46413,563274,67132,158768,47643,164585,41557,141881,127735,23083,67549,66379,37537,76963,0.4911,20188,36.1,423185,346,20082,33244,37504,21407,12368,44423,37730,49530,25638,15758,1209,441023,421114,19909,91100,25969,3935,486,"Congressional District 5 (114th Congress), Illinois",05,17,IL,IL-05-2016,66.0,31.8,70.5,23.9
357947,368500,40.7,726447,605574,21840,1535,63302,607175,44640,111047,27452,145832,40951,171384,159244,21692,63474,46245,37977,93474,0.4460,27492,43.4,379280,923,18349,49119,38461,18955,9675,36443,34588,43624,22813,8710,1185,395181,377890,17291,67680,6131,1321,190,"Congressional District 6 (114th Congress), Illinois",06,17,IL,IL-06-2016,45.1,53.3,50.2,43.2
