CD,Year,Target_Presidential_D,Target_Presidential_R,Previous_Presidential_D,Previous_Presidential_R
IN-06,2012,37.3,60.4,43.6,55
IN-07,2012,62.9,35.3,66.3,32.8
IN-08,2012,39.6,58.4,48.1,50.6
IN-09,2012,40.7,57.2,46.2,52.7
KS-01,2012,27.6,70.1,31,67.2
KS-02,2012,42.2,55.4,45.3,52.8
KS-03,2012,44.3,53.8,48.8,49.9
KS-04,2012,36.1,61.6,39.5,58.6
KY-01,2012,32.1,66.4,36.9,61.6
KY-02,2012,35.1,63.3,37.2,61.5
KY-03,2012,55.7,42.8,56.2,42.8
KY-04,2012,34.8,63.4,37,61.5
KY-05,2012,23.2,75,31.6,66.6
KY-06,2012,42.2,55.8,44.8,53.7
LA-01,2012,26.9,70.9,25.3,72.7
LA-02,2012,75.8,22.8,73.4,25.4
LA-03,2012,32.3,66.1,34.1,64.2
LA-04,2012,39.7,59,39.9,58.9
LA-05,2012,37.7,61,36.7,62
LA-06,2012,32,66.1,30.9,67.5
MA-01,2012,64,34.3,64.1,33.7
MA-02,2012,58.7,39.2,60.4,37.5
MA-03,2012,56.9,41.4,58.8,39.4
MA-04,2012,57.2,41.3,60.4,37.9
MA-05,2012,65.2,33.1,66.2,32.1
MA-06,2012,54.7,43.9,56.9,41.4
MA-07,2012,82.5,15.6,81.9,16.7
MA-08,2012,57.8,40.8,57.9,40.5
MA-09,2012,55.5,43.1,57.8,40.6
MD-01,2012,37.7,60.4,38.4,59.6
MD-02,2012,63.1,35,60.6,37.5
MD-03,2012,60.7,37.1,60.1,38
MD-04,2012,78.1,20.8,77.3,21.8
MD-05,2012,66.1,32.4,65.1,33.6
MD-06,2012,55.2,42.8,56.3,42
MD-07,2012,76.2,22.3,76.2,22.4
MD-08,2012,62,36,62.8,35.6
ME-01,2012,59.6,38.2,60.7,37.5
ME-02,2012,53,44.4,54.6,43.4
MI-01,2012,45.3,53.6,49.7,48.4
MI-02,2012,43.1,56,48,50.3
MI-03,2012,45.8,53.1,49.7,48.6
MI-04,2012,45.5,53.5,49.6,48.6
MI-05,2012,60.7,38.3,63,35.3
MI-06,2012,48.8,50.2,53.1,45.2
MI-07,2012,47.9,51,50.8,47.4
MI-08,2012,48,51.1,52,46.4
MI-09,2012,57.2,41.9,58.1,40.1
MI-10,2012,43.7,55.3,48,50
MI-11,2012,46.9,52.3,50.2,48.3
MI-12,2012,66.2,32.8,66.9,31.4
MI-13,2012,85.2,14.3,84.8,14.2
MI-14,2012,81,18.6,82.2,17.1
MN-01,2012,49.6,48.2,50.8,46.7
MN-02,2012,49.1,49,50.5,47.6
MN-03,2012,49.6,48.8,51,47.4
MN-04,2012,62.5,35.5,62.6,35.5
MN-05,2012,73.5,24,73.4,24.5
MN-06,2012,41.5,56.5,43.2,54.7
MN-07,2012,44.1,53.9,47.1,50.4
MN-08,2012,51.7,46.2,53.1,44.5
MO-01,2012,79.9,18.9,80.3,18.6
MO-02,2012,41.4,57.1,46.4,52.6
MO-03,2012,36.1,62,42.8,55.8
MO-04,2012,36.4,61.2,41.9,56.5
MO-05,2012,58.9,39.4,62,36.8
MO-06,2012,37.9,60,43.1,55.3
MO-07,2012,30.3,67.6,35.3,63.1
MO-08,2012,32,65.9,38.3,60
MS-01,2012,37,61.9,36.6,62.4
MS-02,2012,66.4,33,64.2,35.2
MS-03,2012,39.1,60,38.4,60.8
MS-04,2012,31.2,67.6,31.1,67.9
MT-AL,2012,41.7,55.4,47.3,49.5
NC-01,2012,68.1,31.2,67.3,32.2
NC-02,2012,43,56,44.8,54.3
NC-03,2012,40.6,58.5,42.4,56.8
NC-04,2012,64.5,34.2,65.8,33.2
NC-05,2012,42.3,56.5,44.6,54.2
NC-06,2012,43.2,55.9,45.2,53.8
NC-07,2012,43.2,55.9,44.6,54.6
NC-08,2012,44.4,54.7,45.3,53.9
NC-09,2012,43.8,55.4,45.2,54
NC-10,2012,40.4,58.5,41.6,57.4
NC-11,2012,39.1,59.6,41.5,57.1
NC-12,2012,67.8,31.3,68,31.3
NC-13,2012,46.1,52.9,47.9,51.2
ND-AL,2012,38.9,58.7,44.6,53.3
NE-01,2012,40.8,57.5,44.2,54.3
NE-02,2012,45.7,52.8,50,48.8
NE-03,2012,27.8,70.2,31.1,67.1
NH-01,2012,50.2,48.6,52.8,46.4
NH-02,2012,54.2,44.5,56,43.1
NJ-01,2012,65.1,33.8,64.7,34.2
NJ-02,2012,53.5,45.4,53.2,45.5
NJ-03,2012,51.8,47.2,51.1,47.7
NJ-04,2012,44.7,54.2,45.3,53.6
NJ-05,2012,47.9,50.9,48.5,50.5
NJ-06,2012,61.4,37.4,58.4,40.5
NJ-07,2012,46.3,52.5,47.2,51.6
NJ-08,2012,78.3,20.8,73.2,26
NJ-09,2012,68.4,30.8,64,35.2
NJ-10,2012,87.9,11.5,84.9,14.6
NJ-11,2012,46.6,52.4,47,52.1
NJ-12,2012,66.5,32.4,65.7,33.3
NM-01,2012,55.3,39.6,59.7,39
NM-02,2012,44.9,51.7,48.4,50.2
NM-03,2012,57.5,38.7,61.2,37.5
NV-01,2012,65.6,32.4,64.5,33
NV-02,2012,44.8,52.9,49.4,48.2
NV-03,2012,49.5,48.7,53.5,44.6
NV-04,2012,54.4,43.7,56.4,41.4
NY-01,2012,49.6,49.1,51,48
NY-02,2012,51.6,47.2,51,48
NY-03,2012,50.8,48.2,54,46
NY-04,2012,56.3,42.8,55,44
NY-05,2012,90.6,9.1,86,14
NY-06,2012,67.8,31,63,36
NY-07,2012,88.4,10.3,84,15
NY-08,2012,89.3,10.1,86,14
NY-09,2012,85.3,13.8,84,15
NY-10,2012,73.6,25,76,23
NY-11,2012,51.6,47.3,48,51
NY-12,2012,76.9,21.5,80,19
NY-13,2012,94.6,4.6,93,6
NY-14,2012,80.7,18.3,76,23
NY-15,2012,96.7,3,95,5
NY-16,2012,73.7,25.5,73,26
NY-17,2012,57.1,41.8,58,41
NY-18,2012,51.4,47.1,52,47
NY-19,2012,52.1,45.9,53,45
NY-20,2012,59.2,38.8,58,40
NY-21,2012,52.2,46.1,52,47
NY-22,2012,48.8,49.2,49,49.01
NY-23,2012,48.4,49.6,50,49
NY-24,2012,57,41.1,56,42
NY-25,2012,58.8,39.4,59,40
NY-26,2012,63.9,34.3,63,35
NY-27,2012,42.9,55.3,44,54
OH-01,2012,46.3,52.4,47.2,51.8
OH-02,2012,43.7,54.7,44.3,54.2
OH-03,2012,69.7,28.9,67.4,31.3
OH-04,2012,42,56,43.7,54.4
OH-05,2012,44.1,53.9,46,52.2
OH-06,2012,42.7,55.2,44.7,53.1
OH-07,2012,44.2,53.7,46.9,50.9
OH-08,2012,36.4,61.9,38.1,60.3
OH-09,2012,67.6,30.9,66.8,31.6
OH-10,2012,48.2,50.1,49.31,49.3
OH-11,2012,82.7,16.5,82,17.2
OH-12,2012,43.9,54.4,44.8,53.7
OH-13,2012,62.9,35.4,62.3,35.8
OH-14,2012,47.6,50.9,49.1,49.4
OH-15,2012,46.3,51.9,46.1,52.2
OH-16,2012,45.2,53.4,47.2,51.3
OK-01,2012,34.2,65.8,35.8,64.2
OK-02,2012,32.2,67.8,34.3,65.7
OK-03,2012,26.1,73.9,27.1,72.9
OK-04,2012,32.9,67.1,33.9,66.1
OK-05,2012,40.8,59.2,40.8,59.2
OR-01,2012,57.3,40,59.6,37.7
OR-02,2012,40.5,56.8,43.3,53.8
OR-03,2012,72,24.7,72.9,24.3
OR-04,2012,51.7,45,54.2,42.7
OR-05,2012,50.5,47.1,53,44.2
PA-01,2012,50.2,48.6,53.9,45
PA-02,2012,77.4,21.8,73.1,26.1
PA-03,2012,91.7,7.6,91.8,7.8
PA-04,2012,56.1,42.8,59.5,39.6
PA-05,2012,63.4,35.7,62.8,36.3
PA-06,2012,51,47.8,55.7,43.4
PA-07,2012,52.9,45.9,56.6,42.1
PA-08,2012,55.3,43.4,56.7,42.3
PA-09,2012,41.2,57.2,45.6,53
PA-10,2012,46,52.6,48.6,50.3
PA-11,2012,38,60.5,42,57.1
PA-12,2012,36.8,61.5,41.7,57
PA-13,2012,32.1,66.6,37,61.8
PA-14,2012,40.6,58.3,44.7,54.2
PA-15,2012,35.7,62.6,42.6,55.8
PA-16,2012,46.9,51.7,49.6,49
PA-17,2012,47.2,51.7,48.6,50.5
PA-18,2012,63.5,35.2,63.4,35.7
RI-01,2012,66.2,32.2,66.6,31.8
RI-02,2012,59.8,38.3,59.9,38.3
SC-01,2012,40.2,58.3,42.7,56.1
SC-02,2012,39.4,59.1,39.4,59.5
SC-03,2012,33.9,64.5,35.1,63.5
SC-04,2012,36.2,62.2,37.7,60.6
SC-05,2012,43.6,55.1,43.8,55
SC-06,2012,70.9,28.1,70.1,28.9
SC-07,2012,44.4,54.5,45.3,53.6
SD-AL,2012,39.9,57.9,44.7,53.2
TN-01,2012,25.7,72.7,28.6,69.9
TN-02,2012,30.9,67.3,34.5,64
TN-03,2012,35.1,63.3,37.3,61.3
TN-04,2012,33.1,65.3,35.8,62.6
TN-05,2012,55.9,42.5,57.5,41.3
TN-06,2012,29.5,69.1,33.5,64.9
TN-07,2012,32.9,65.7,36.3,62.4
TN-08,2012,32.9,66.1,34.9,64.1
TN-09,2012,78.4,20.9,77,22.5
TX-01,2012,27.5,71.6,30,69
TX-02,2012,35.6,62.9,37,62
TX-03,2012,34.2,64.3,37,61
TX-04,2012,24.8,74,29,70
TX-05,2012,34.4,64.5,37,62
TX-06,2012,40.8,57.9,42,57
TX-07,2012,38.6,59.9,40,59
TX-08,2012,21.7,77,26,73
TX-09,2012,78,21.1,76,23
TX-10,2012,38.8,59.1,43,56
TX-11,2012,19.6,79.2,23,76
TX-12,2012,31.7,66.8,35,64
TX-13,2012,18.5,80.2,22,77
TX-14,2012,39.5,59.3,42,57
TX-15,2012,57.4,41.5,57,42
TX-16,2012,64.2,34.5,64,35
TX-17,2012,37.7,60.4,41,58
TX-18,2012,76.1,22.8,77,23
TX-19,2012,25,73.6,28,71
TX-20,2012,58.9,39.7,58,41
TX-21,2012,37.9,59.8,42,56
TX-22,2012,36.7,62.1,39,60
TX-23,2012,48.1,50.7,50,49
TX-24,2012,38,60.4,41,58
TX-25,2012,37.8,59.9,43,56
TX-26,2012,30.7,67.6,35,64
TX-27,2012,38.2,60.5,40,59
TX-28,2012,60.3,38.7,58,41
TX-29,2012,65.9,33,62,37
TX-30,2012,79.6,19.6,78,21
TX-31,2012,38.3,59.6,43,56
TX-32,2012,41.5,57,44,55
TX-33,2012,72,27.1,69,31
TX-34,2012,60.8,38.3,60,39
TX-35,2012,63,34.6,63,35
TX-36,2012,25.7,73.2,30,69
UT-01,2012,20.4,77.4,29.4,67.7
UT-02,2012,29.2,68,38.4,58.5
UT-03,2012,19.5,78.3,29.5,67.5
UT-04,2012,30.2,67.2,40.9,56.1
VA-01,2012,43.4,55.3,43.8,55.4
VA-02,2012,48.2,50.5,47.9,51.1
VA-03,2012,67.6,31.3,65.4,33.9
VA-04,2012,60.3,38.5,60.1,39.1
VA-05,2012,45.9,52.5,46.8,52.2
VA-06,2012,39.5,58.8,41.2,57.7
VA-07,2012,44.1,54.6,44.9,54.3
VA-08,2012,67.8,31,66.3,32.8
VA-09,2012,34.9,63.1,39.7,58.9
VA-10,2012,48.8,49.9,49.6,49.6
VA-11,2012,62.5,36.3,60.7,38.5
VT-AL,2012,67,31.2,67.8,30.6
WA-01,2012,54.1,43.3,56.3,41.9
WA-02,2012,59.2,38,60.5,37.6
WA-03,2012,47.9,49.6,50.9,47.1
WA-04,2012,37.9,59.7,39.2,58.9
WA-05,2012,43.7,53.5,46.3,51.2
WA-06,2012,56.1,41.2,57,40.9
WA-07,2012,79.2,18.1,80.4,18
WA-08,2012,49.7,48.1,51.5,46.8
WA-09,2012,68.3,29.6,68.6,29.9
WA-10,2012,56.3,41.1,57.2,41
WI-01,2012,47.4,51.6,50.8,48.1
WI-02,2012,68.3,30.5,70.1,28.6
WI-03,2012,54.8,43.8,59.4,39.1
WI-04,2012,75.3,23.8,74.4,24.6
WI-05,2012,37.7,61.3,41.8,57.2
WI-06,2012,45.8,53.1,49.4,49.3
WI-07,2012,47.8,50.9,53.2,45.3
WI-08,2012,47.6,51.3,53.7,45
WV-01,2012,35.5,62.2,41.5,56.7
WV-02,2012,38,60,43.9,54.7
WV-03,2012,32.8,65,42.3,55.7
WY-AL,2012,28,69.2,32.7,65.2
