,B01001_002E,B01001_026E,B01002_001E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B03002_012E,B05001_002E,B05001_006E,B05012_003E,B06009_002E,B06009_005E,B06011_001E,B09001_001E,B11001_003E,B15012_009E,B15012_010E,B17001_002E,B19001_017E,B19013_001E,B19083_001E,B21001_002E,B23013_001E,B24050_001E,B24050_002E,B24050_005E,B24050_006E,B24050_008E,B24050_009E,B24050_012E,B24050_013E,B24050_021E,B24050_022E,B24050_025E,B24050_027E,B25031_001E,B28007_002E,B28007_003E,B28007_009E,C03001_004E,C03001_005E,C03001_006E,C03001_007E,District_Name,CD,State_Id,State,CD_Id,Incumbent_Rep_Party,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,State_AB
168,366455,393345,34.9,759800,508896,185598,3232,21833,69661,660113,62856,91342,63881,116489,28744,163712,120507,17862,42164,124598,15602,51554,0.4827,34467,36.9,399640,623,23775,32548,44740,19487,10171,30079,37229,57773,35292,16051,915,414985,395047,19938,41164,3838,1744,244,"Congressional District 5 (114th Congress), Tennessee",05,47,TN,TN-05,D,56.5,38.2,55.9,42.5,57.5,41.3,TN
169,366345,378732,40.9,745077,679204,32410,2875,6263,30800,711892,18517,28178,71801,75274,25391,169797,153329,15528,25265,100074,8763,47227,0.4475,51866,41.6,334390,6180,22791,49793,37903,21711,4697,17060,24642,43870,25815,14584,752,352145,333920,18225,19066,1470,2362,507,"Congressional District 6 (114th Congress), Tennessee",06,47,TN,TN-06,R,23.7,72.6,29.5,69.1,33.5,64.9,TN
170,373757,380093,37.4,753850,637054,79375,1992,15353,36649,709428,13928,31063,58095,89409,26089,188058,153505,16824,36463,100211,16199,53238,0.4891,60954,40.8,318570,4067,20053,45310,37482,14533,6592,19786,28675,46556,18967,15556,816,338808,317364,21444,16787,10163,1712,588,"Congressional District 7 (114th Congress), Tennessee",07,47,TN,TN-07,R,28.2,67.5,32.9,65.7,36.3,62.4,TN
171,343379,366368,40.2,709747,528624,145617,2071,14280,19484,680388,13348,24361,59417,83117,27117,167069,140922,14422,33963,97694,15152,55100,0.4909,47681,42.1,318226,4464,16002,45324,40878,23048,3780,16053,28925,46862,20015,16469,748,332989,316839,16150,14065,1642,512,0,"Congressional District 8 (114th Congress), Tennessee",08,47,TN,TN-08,R,30.7,66.3,32.9,66.1,34.9,64.1,TN
172,334863,371016,33.9,705879,196616,460533,473,13341,50871,654672,33999,45702,70076,62844,22274,179545,78519,10410,25971,170340,4809,37388,0.4790,35926,38.2,317840,474,17081,25712,36387,42850,5994,15951,25280,42065,25371,12517,836,349506,315606,33900,35284,1539,2459,272,"Congressional District 9 (114th Congress), Tennessee",09,47,TN,TN-09,D,77.5,19.8,78.4,20.9,77.0,22.5,TN
173,350682,365079,37.3,715761,555148,128512,1676,7624,122556,663144,35497,48597,82635,63536,23175,176423,126757,12412,21834,125417,8180,46537,0.4779,43517,39.4,298086,17370,20978,29409,37578,14054,4327,13365,33291,48486,19872,10125,792,315956,295654,20302,112327,2343,211,0,"Congressional District 1 (114th Congress), Texas",01,48,TX,TX-01,R,25.3,72.2,27.5,71.6,30.0,69.0,TX
174,377289,376574,35.6,753863,506873,88458,3250,60306,227130,583996,91455,158853,60271,127884,36623,177483,140838,17773,50706,76679,31079,74246,0.4728,34567,39.6,398374,19512,32272,38658,37548,26044,6044,30091,36126,37632,27221,10051,1134,415208,396894,18314,172517,4906,3660,335,"Congressional District 2 (114th Congress), Texas",02,48,TX,TX-02,R,43.1,52.4,35.6,62.9,37.0,62.0,TX
175,402797,416829,36.7,819626,576314,72287,6211,122456,124647,630066,97845,175863,35862,181003,42159,218545,176249,25753,75716,53052,36137,86565,0.4339,35514,41.3,425586,3550,19663,39199,49859,12358,15644,48465,39004,46893,29402,10174,1200,441410,425172,16238,96393,4845,1602,901,"Congressional District 3 (114th Congress), Texas",03,48,TX,TX-03,R,40.6,54.8,34.2,64.3,37.0,61.0,TX
176,358181,367031,39.1,725212,582296,76981,6955,6591,97896,675152,30605,44070,68740,63427,25183,177623,140584,9577,22131,111259,10238,47850,0.4782,52132,41.4,310435,9605,26354,39861,40815,14900,3881,17083,26893,42756,17431,14876,765,330047,309251,20796,85807,2505,656,0,"Congressional District 4 (114th Congress), Texas",04,48,TX,TX-04,R,21.8,75.4,24.8,74.0,29.0,70.0,TX
177,377622,366256,36.0,743878,555400,115318,2599,15108,206009,622801,84271,113948,97772,64987,24198,191432,119970,8473,24739,126268,8366,46900,0.4616,39776,39.4,327931,7569,31511,29342,40685,19405,8826,19225,24879,37473,28790,13719,818,347465,327554,19911,186537,2132,352,371,"Congressional District 5 (114th Congress), Texas",05,48,TX,TX-05,R,34.3,62.7,34.4,64.5,37.0,62.0,TX
