Total_Pop,Total_Males,Total_Females,Median_Age,Total_Veterans,Total_White_People,Total_Afr_Am_People,Total_Asian,Total_American_Ind_Alk_Ntv,Total_Cuban_Origin,Total_Puerto_Rican_Origin,Total_Dominican_Origin,Total_Mexican_Origin,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Children,Total_Married_Households,Total_Less_Highschool,Total_Bachelor_Holders,Total_STEM,Total_Business_Degree,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Total_Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Total_Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
736757,370654,366103,35.8,39468,597579,14973,35289,5511,653,3132,0,235167,595745,83388,131302,152205,125898,73632,96593,13954,23855,361722,342141,19581,63199,26499,108497,19807,0.4746,37.0,348483,24533,21714,26823,35632,12415,15754,39364,43742,34470,15734,6553,1366,"Congressional District 24 (114th Congress), California",06,24,CA,CA-24-2016,54.1,43.1,56.7,36.5
720316,359604,360712,36.0,32023,471893,59429,65485,3850,2723,4436,630,194240,562805,60462,150616,185712,125554,66763,84548,11871,27742,342620,317697,24923,75732,31356,87089,19191,0.4388,41.9,318928,2394,21687,31733,38114,14090,24017,27718,41759,20242,16069,12751,1397,"Congressional District 25 (114th Congress), California",06,25,CA,CA-25-2016,47.9,49.7,50.3,43.6
725084,357365,367719,37.3,33404,584983,13160,51575,7595,433,2967,68,295250,542479,101288,175270,174382,126575,87572,97196,15375,30137,364406,339646,24760,77744,30374,73290,24453,0.4457,40.6,340023,22162,19899,37025,37603,12641,22221,26577,36201,25837,15353,8384,1536,"Congressional District 26 (114th Congress), California",06,26,CA,CA-26-2016,54.0,43.7,57.9,36.0
733239,350357,382882,41.4,20705,281509,35072,279772,2055,2865,1346,36,164322,437599,110764,287247,146903,128507,75455,133360,16907,46732,371116,350679,20437,71343,30080,93994,26614,0.4855,42.6,353412,925,17448,28311,31377,16491,29821,38511,48911,28450,12302,11166,1349,"Congressional District 27 (114th Congress), California",06,27,CA,CA-27-2016,62.6,35.0,66.0,28.4
714897,356279,358618,39.5,19325,481697,21766,96803,2021,3922,3008,159,91496,417850,109537,284340,112068,113377,66329,162332,19565,44364,417120,389631,27489,61405,31320,98526,32126,0.5247,38.8,392029,1830,14991,21077,34598,11590,26581,25793,51815,28127,11866,38750,1358,"Congressional District 28 (114th Congress), California",06,28,CA,CA-28-2016,70.3,26.5,72.1,22.3
720532,359891,360641,33.8,14738,403201,28394,55351,3583,4592,3908,142,345947,401227,162351,308949,174615,96358,147278,71198,9352,18271,372646,344676,27970,47608,21644,150982,5982,0.4442,37.9,345247,2515,31055,32347,39344,17560,17268,20004,44865,27719,8082,14610,1208,"Congressional District 29 (114th Congress), California",06,29,CA,CA-29-2016,77.0,20.5,77.7,16.8
771108,376995,394113,38.6,21834,502195,33276,102064,2484,3319,2536,234,137465,498797,107836,263101,152148,129019,61435,151919,19985,44431,426381,401273,25108,75853,33194,81092,31685,0.4910,40.4,403627,1915,23468,25133,38728,12655,33286,33997,50697,25145,8002,30533,1529,"Congressional District 30 (114th Congress), California",06,30,CA,CA-30-2016,65.3,32.1,69.1,25.7
738482,365097,373385,32.3,25342,454523,80575,60055,3915,2211,5806,181,324982,565715,86437,164599,196101,102338,89959,62629,12279,23609,342221,314189,28032,54453,24331,139720,7903,0.4459,37.3,317640,1550,20606,26951,40592,27006,15699,32130,46390,22903,17544,4403,1177,"Congressional District 31 (114th Congress), California",06,31,CA,CA-31-2016,57.2,40.6,57.7,36.6
732927,356601,376326,36.6,20747,360923,13948,124006,4202,3023,3643,79,406287,469975,112791,256334,165812,104514,126136,69771,9146,25840,359948,333339,26609,61756,23607,93969,7809,0.4119,40.4,336134,2678,19866,44095,41420,22188,17767,29729,39446,25781,10719,7433,1310,"Congressional District 32 (114th Congress), California",06,32,CA,CA-32-2016,65.2,32.5,66.6,27.7
718273,349192,369081,40.8,28500,515373,26893,102178,2739,3660,2911,42,58520,539128,62032,167834,137608,133877,21172,183896,18625,62727,381230,360493,20737,97074,50083,62725,63821,0.5296,41.4,365213,1291,10173,29209,30585,14244,37245,37312,41312,18380,8386,25528,1888,"Congressional District 33 (114th Congress), California",06,33,CA,CA-33-2016,60.6,36.8,67.8,26.5
735150,371559,363591,34.2,10770,298677,34643,144019,11250,3073,2786,778,320082,389907,206907,336947,157926,82376,174729,87293,10715,22881,381495,351819,29676,38326,19261,190707,8368,0.5105,37.5,354331,1967,26560,37335,39774,16073,15844,23208,39388,41447,8057,12447,1071,"Congressional District 34 (114th Congress), California",06,34,CA,CA-34-2016,83.0,14.1,83.6,10.7
