CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
IA-01,2016,48.7,45.2,56.2,42.5
IA-02,2016,49.1,45.0,55.8,42.7
IA-03,2016,48.5,45.0,51.4,47.2
IA-04,2016,60.9,33.5,45.3,53.4
ID-01,2016,63.7,25.4,32.2,64.9
ID-02,2016,54.5,29.8,33.1,64.1
IL-01,2016,21.4,75.4,78.9,20.2
IL-02,2016,19.1,78.0,80.7,18.5
IL-03,2016,39.9,55.2,55.9,42.6
IL-04,2016,13.2,82.1,80.9,17.1
IL-05,2016,23.9,70.5,66.0,31.8
IL-06,2016,43.2,50.2,45.1,53.3
IL-07,2016,9.2,87.4,87.2,11.8
IL-08,2016,36.4,58.1,57.4,40.9
IL-09,2016,24.9,70.1,65.0,33.3
IL-10,2016,32.6,62.0,57.5,41.1
IL-11,2016,35.4,58.9,57.8,40.6
IL-12,2016,55.0,40.2,49.7,48.1
IL-13,2016,49.7,44.2,48.6,48.9
IL-14,2016,48.7,44.8,44.2,54.2
IL-15,2016,70.7,24.5,34.1,63.9
IL-16,2016,55.5,38.3,45.2,52.9
IL-17,2016,47.4,46.7,57.6,40.6
IL-18,2016,60.6,33.3,37.4,60.7
IN-01,2016,41.5,54.1,61.2,37.4
IN-02,2016,59.3,36.1,42.1,56.1
IN-03,2016,65.1,30.1,35.7,62.5
IN-04,2016,64.3,30.2,36.9,60.9
IN-05,2016,53.1,41.3,40.7,57.5
IN-06,2016,67.7,27.4,37.3,60.4
IN-07,2016,36.2,59.0,62.9,35.3
IN-08,2016,64.6,30.9,39.6,58.4
IN-09,2016,61.1,34.2,40.7,57.2
KS-01,2016,69.3,24.3,27.6,70.1
KS-02,2016,55.8,37.4,42.2,55.4
KS-03,2016,46.0,47.2,44.3,53.8
KS-04,2016,60.2,33.0,36.1,61.6
KY-01,2016,72.4,23.9,32.1,66.4
KY-02,2016,67.5,27.6,35.1,63.3
KY-03,2016,39.9,54.9,55.7,42.8
KY-04,2016,65.2,29.3,34.8,63.4
KY-05,2016,79.6,17.5,23.2,75.0
KY-06,2016,54.7,39.4,42.2,55.8
LA-01,2016,68.7,26.7,26.9,70.9
LA-02,2016,22.2,74.6,75.8,22.8
LA-03,2016,67.3,29.2,32.3,66.1
LA-04,2016,60.6,36.6,39.7,59.0
LA-05,2016,63.5,34.1,37.7,61.0
LA-06,2016,64.8,31.0,32.0,66.1
MA-01,2016,36.5,57.2,64.0,34.3
MA-02,2016,36.8,56.2,58.7,39.2
MA-03,2016,35.4,58.2,56.9,41.4
MA-04,2016,35.0,59.2,57.2,41.3
MA-05,2016,25.7,69.3,65.2,33.1
MA-06,2016,38.2,56.1,54.7,43.9
MA-07,2016,11.9,84.1,82.5,15.6
MA-08,2016,34.4,60.4,57.8,40.8
MA-09,2016,41.8,52.5,55.5,43.1
MD-01,2016,62.0,33.4,37.7,60.4
MD-02,2016,35.7,60.1,63.1,35.0
MD-03,2016,32.3,62.8,60.7,37.1
MD-04,2016,19.7,77.2,78.1,20.8
MD-05,2016,32.1,64.1,66.1,32.4
MD-06,2016,40.2,55.3,55.2,42.8
MD-07,2016,20.2,75.8,76.2,22.3
MD-08,2016,30.6,65.0,62.0,36.0
ME-01,2016,39.3,54.1,59.6,38.2
ME-02,2016,51.4,41.1,53.0,44.4
MI-01,2016,57.9,36.6,45.3,53.6
MI-02,2016,55.8,38.2,43.1,56.0
MI-03,2016,51.6,42.2,45.8,53.1
MI-04,2016,59.5,34.7,45.5,53.5
MI-05,2016,45.5,49.7,60.7,38.3
MI-06,2016,51.3,42.9,48.8,50.2
MI-07,2016,55.7,38.7,47.9,51.0
MI-08,2016,50.6,43.9,48.0,51.1
MI-09,2016,43.7,51.5,57.2,41.9
MI-10,2016,63.8,31.6,43.7,55.3
MI-11,2016,49.7,45.3,46.9,52.3
MI-12,2016,34.5,60.8,66.2,32.8
MI-13,2016,18.1,78.8,85.2,14.3
MI-14,2016,18.3,79.2,81.0,18.6
MN-01,2016,53.3,38.4,49.6,48.2
MN-02,2016,46.5,45.3,49.1,49.0
MN-03,2016,41.4,50.8,49.6,48.8
MN-04,2016,30.6,61.5,62.5,35.5
MN-05,2016,18.5,73.7,73.5,24.0
MN-06,2016,58.9,33.2,41.5,56.5
MN-07,2016,61.8,31.0,44.1,53.9
MN-08,2016,54.2,38.6,51.7,46.2
MO-01,2016,18.8,77.0,79.9,18.9
MO-02,2016,52.6,42.3,41.4,57.1
MO-03,2016,67.1,28.1,36.1,62.0
MO-04,2016,65.3,29.3,36.4,61.2
MO-05,2016,40.6,54.1,58.9,39.4
MO-06,2016,63.1,31.7,37.9,60.0
MO-07,2016,70.4,24.7,30.3,67.6
MO-08,2016,75.4,21.0,32.0,65.9
MS-01,2016,65.4,32.4,37.0,61.9
MS-02,2016,35.1,63.6,66.4,33.0
MS-03,2016,61.3,36.8,39.1,60.0
MS-04,2016,69.4,28.2,31.2,67.6
MT-AL,2016,56.5,35.9,41.7,55.4
NC-01,2016,43.6,54.7,57.1,42.4
NC-02,2016,35.9,60.3,57.0,41.7
NC-03,2016,61.0,36.5,40.5,58.6
NC-04,2016,31.9,65.2,63.2,35.7
NC-05,2016,67.2,30.3,35.6,63.1
NC-06,2016,37.9,59.4,58.4,40.7
